,firsts,lasts,lifespans,mentions
ܒܪܒܪܝܐ,125.0,1907.0,1782.0,571
ܒܪܓܝܐ,500.0,575.0,75.0,3
ܓܘܪܦܐ,450.0,1907.0,1457.0,23
ܓܝܒܛܘܣܢ,350.0,350.0,0.0,1
ܓܝܓܪܛܐ,950.0,950.0,0.0,1
ܓܝܠܘܣ,375.0,850.0,475.0,6
ܓܠܐܪܝܢ,675.0,950.0,275.0,3
ܓܠܘܣܩܡܐ,325.0,1525.0,1200.0,114
ܓܠܝܣܐ,500.0,850.0,350.0,9
ܓܢܘܣ,793.0,1800.0,1007.0,4
ܓܢܛܝܠܐ,675.0,675.0,0.0,3
ܓܢܣܐ,125.0,2006.0,1881.0,3033
ܓܢܣܣ,675.0,675.0,0.0,1
ܓܣܣܛܝܪ,950.0,950.0,0.0,1
ܓܪܡܛܝܘܢ,560.0,560.0,0.0,2
ܓܪܣܢܝܐ,850.0,850.0,0.0,1
ܕܐܠܘܣ,375.0,1234.0,859.0,9
ܕܐܡܘܣܝܐ,575.0,950.0,375.0,5
ܕܐܢܘܣ,950.0,950.0,0.0,1
ܕܐܦܢܗ,375.0,375.0,0.0,1
ܕܕܝܢ,325.0,1693.0,1368.0,222
ܕܘܛܪܐ,450.0,724.0,274.0,9
ܕܘܡܘܣܝܘܢ,800.0,800.0,0.0,2
ܕܘܡܣܐ,500.0,1250.0,750.0,50
ܕܘܩܛܘܢ,550.0,550.0,0.0,1
ܕܘܩܝܕܗܣ,1250.0,1250.0,0.0,1
ܕܘܪܛܐ,650.0,950.0,300.0,3
ܕܝܐܛܟܣܝܣ,950.0,950.0,0.0,1
ܕܝܐܛܣܪܘܢ,1150.0,1250.0,100.0,5
ܕܝܐܡܛܪܘܢ,650.0,1250.0,600.0,20
ܕܝܐܦܪܓܡܐ,850.0,950.0,100.0,3
ܕܝܐܬܐܣܝܣ,1250.0,1250.0,0.0,1
ܕܝܒܘܠܘܣ,950.0,950.0,0.0,1
ܕܝܒܠܘܣ,950.0,950.0,0.0,2
ܕܝܕܣܩܠܝܐ,450.0,450.0,0.0,30
ܕܝܠܘܣܝܣ,450.0,450.0,0.0,3
ܕܝܠܝܛܪܝܘܕܝܘܣ,950.0,950.0,0.0,1
ܕܝܠܝܩܛܝܩܐ,950.0,950.0,0.0,3
ܕܝܠܝܩܛܝܩܝܐ,950.0,950.0,0.0,1
ܕܝܠܩܛܝܩܝܐ,650.0,775.0,125.0,3
ܕܝܡܐܣ,950.0,950.0,0.0,1
ܕܝܡܘܣ,450.0,1234.0,784.0,23
ܕܝܡܘܣܝܐ,588.0,701.0,113.0,5
ܕܝܡܛܝܩܘܣ,575.0,575.0,0.0,2
ܕܝܡܣ,575.0,950.0,375.0,38
ܕܝܡܣܝܢ,575.0,775.0,200.0,12
ܕܝܡܪܛܘܪܝܐ,540.0,950.0,410.0,2
ܕܝܢܘܣܣ,125.0,724.0,599.0,4
ܕܝܢܪܐ,325.0,1907.0,1582.0,635
ܕܝܣܦܪܡܛܘܢ,950.0,950.0,0.0,2
ܕܝܣܩܘܪܐ,525.0,846.0,321.0,10
ܕܝܩܐܘܡܛܐ,450.0,450.0,0.0,3
ܕܝܩܛܐܡܢܘܢ,950.0,1250.0,300.0,4
ܕܝܩܠܘܣ,675.0,675.0,0.0,2
ܕܝܩܢܝܩܘܣ,525.0,525.0,0.0,2
ܕܝܬܝܩܐ,350.0,1950.0,1600.0,40
ܕܟܘܣܐ,600.0,950.0,350.0,2
ܕܡܕܡܢܐ,850.0,950.0,100.0,3
ܕܡܘܟܪܝܘܣ,525.0,525.0,0.0,2
ܕܡܘܣܝܐ,375.0,775.0,400.0,13
ܕܡܣ,125.0,1907.0,1782.0,351
ܕܡܣܛܝܩܘܢ,950.0,950.0,0.0,1
ܕܢܝܣܛܝܣ,1693.0,1693.0,0.0,1
ܕܦܢܝܕܝܢ,850.0,1300.0,450.0,12
ܕܦܢܝܣ,850.0,850.0,0.0,1
ܕܦܢܣ,450.0,950.0,500.0,4
ܕܦܪܢܐ,850.0,1250.0,400.0,10
ܕܩܠܢܝܬܐ,950.0,950.0,0.0,1
ܕܪܘܡܐ,350.0,1994.0,1644.0,508
ܕܪܘܣܐ,675.0,675.0,0.0,1
ܕܪܟܡܐ,950.0,950.0,0.0,10
ܕܪܡܐ,325.0,1950.0,1625.0,508
ܕܪܡܘܢ,560.0,850.0,290.0,5
ܕܪܡܘܣ,675.0,950.0,275.0,3
ܕܫܛܐ,375.0,1693.0,1318.0,10
ܗܐܛܪܝܘܢ,1250.0,1250.0,0.0,2
ܗܓܝܪܘܣ,950.0,1250.0,300.0,3
ܗܓܡܘܢܐ,325.0,1800.0,1475.0,651
ܗܓܡܢܘܬܐ,950.0,950.0,0.0,1
ܗܕܝܘܛܐ,325.0,1375.0,1050.0,536
ܗܘܐܢ,350.0,675.0,325.0,19
ܗܘܠܐ,350.0,1994.0,1644.0,790
ܗܘܦܘܩܢܛܘܪܘܢ,675.0,675.0,0.0,1
ܗܘܦܛܝܩܘܣ,525.0,950.0,425.0,4
ܗܘܦܪܟܝܐ,475.0,1905.0,1430.0,148
ܗܘܪܝܘܢ,500.0,500.0,0.0,5
ܗܘܪܝܦܘܣ,375.0,375.0,0.0,1
ܗܘܪܝܪܐ,500.0,500.0,0.0,1
ܗܝܠܐ,350.0,1868.0,1518.0,242
ܗܝܡܝܣܝܢ,560.0,560.0,0.0,2
ܗܝܦܘܣܝܡܐ,950.0,950.0,0.0,1
ܗܝܦܝ,950.0,950.0,0.0,3
ܗܝܦܝܣܩܘܣ,950.0,950.0,0.0,1
ܗܝܦܪܘܣ,500.0,500.0,0.0,1
ܗܟܘܕܛܐܣܬܝܩܐ,950.0,950.0,0.0,1
ܗܟܘܡܗܢܘܣ,950.0,950.0,0.0,1
ܗܟܝܕܢܐ,950.0,950.0,0.0,1
ܗܟܝܘܢ,950.0,950.0,0.0,1
ܗܟܝܢܘܣ,950.0,950.0,0.0,6
ܗܟܣܐܓܐܓܗ,950.0,950.0,0.0,1
ܗܟܣܐܓܓܗܐܝܠܘ,950.0,950.0,0.0,1
ܗܟܣܐܓܗܪܬܝܛܝ,950.0,950.0,0.0,1
ܗܟܣܐܓܘܕܗܐܝܘܣܘ,950.0,950.0,0.0,1
ܗܟܣܐܓܘܢܘܢ,950.0,950.0,0.0,1
ܗܟܣܐܠܗܐܐܝܦܝܣܘܢ,950.0,950.0,0.0,1
ܗܟܣܐܦܗܣܛܗܠܗ,950.0,950.0,0.0,1
ܗܟܣܐܦܝܢܐ,950.0,950.0,0.0,1
ܗܟܣܐܦܠܐ,800.0,800.0,0.0,8
ܗܟܣܗܒܐܠܗܢ,950.0,950.0,0.0,1
ܗܟܣܗܓܓܗܝܠܐ,950.0,950.0,0.0,1
ܗܟܣܗܛܐܙܗܐܝ,950.0,950.0,0.0,1
ܗܟܣܗܛܗܐܝܢܐܫܬܝ,950.0,950.0,0.0,1
ܗܟܣܗܛܝܟܣܐܣ,950.0,950.0,0.0,1
ܗܠܝܘܢ,775.0,950.0,175.0,6
ܗܠܝܩܘܢܗܣ,375.0,375.0,0.0,1
ܗܠܢܝܘܣ,950.0,1150.0,200.0,2
ܗܠܦܘܣ,1250.0,1250.0,0.0,1
ܗܡܘܪܐܝܕܗܣ,850.0,850.0,0.0,1
ܗܢܕܝܐܒܐܠܐܘܝܛܗܣ,950.0,950.0,0.0,1
ܗܢܘܣܛܐܟܣܐܢ,950.0,950.0,0.0,1
ܗܢܘܦܝܘܢ,950.0,950.0,0.0,1
ܗܢܛܐ,575.0,775.0,200.0,12
ܗܢܛܘܒܘܢ,950.0,950.0,0.0,1
ܗܢܛܘܠܝ,950.0,950.0,0.0,1
ܗܢܛܪܘܡܘܣ,950.0,950.0,0.0,1
ܗܢܛܪܘܩܝܠܝ,950.0,950.0,0.0,1
ܗܢܝܘܟܐ,325.0,1375.0,1050.0,93
ܗܢܟܠܝܣ,1250.0,1250.0,0.0,5
ܗܢܩܗܢܝܐ,350.0,350.0,0.0,1
ܗܣܐܦܝܣܐܢ,950.0,950.0,0.0,1
ܗܣܘܬܗܢ,950.0,950.0,0.0,1
ܗܣܛܗܪܝܣܐܣ,950.0,950.0,0.0,1
ܗܣܛܝ,950.0,950.0,0.0,2
ܗܣܛܝܐ,724.0,724.0,0.0,2
ܗܣܛܝܢ,950.0,950.0,0.0,1
ܗܣܛܝܪܝܓܡܗܢܗ,950.0,950.0,0.0,1
ܗܣܝ,675.0,950.0,275.0,5
ܗܣܝܐܕܘܣ,775.0,775.0,0.0,2
ܗܣܝܓܝܣܐ,950.0,950.0,0.0,1
ܗܣܦܐܣܐܢ,950.0,950.0,0.0,1
ܗܣܩܝܪܛܝܣܐܢ,950.0,950.0,0.0,1
ܗܦܐܓܓܗܠܝܐ,950.0,950.0,0.0,1
ܗܦܐܕܘܢ,950.0,950.0,0.0,1
ܗܦܐܢܝܣܛܐܡܗܢܝܘ,950.0,950.0,0.0,1
ܗܦܙܕܩܐ,675.0,675.0,0.0,1
ܗܦܝܠܝܦܣܝܐ,850.0,850.0,0.0,1
ܗܦܝܡܗܪܘܣ,950.0,950.0,0.0,1
ܗܦܝܦܠܘܣ,950.0,950.0,0.0,1
ܗܦܣܛܝܘܢ,500.0,500.0,0.0,7
ܗܩܛܣܛܐ,450.0,775.0,325.0,8
ܗܪܘܕܝܣ,500.0,1375.0,875.0,100
ܗܪܘܡܐ,350.0,1575.0,1225.0,243
ܗܪܝܘܢ,950.0,950.0,0.0,1
ܗܪܡܘܕܐܩܛܠܘܣ,1250.0,1250.0,0.0,2
ܗܪܣܝܣ,375.0,1693.0,1318.0,954
ܗܬܝܪ,950.0,950.0,0.0,3
ܘܡܪܝܐ,325.0,1844.0,1519.0,834
ܘܦܐ,325.0,1375.0,1050.0,176
ܘܪܛܐ,575.0,950.0,375.0,5
ܙܐܠܝ,450.0,950.0,500.0,3
ܙܒܐ,350.0,1250.0,900.0,256
ܙܘܓ,325.0,1950.0,1625.0,471
ܙܘܓܐ,350.0,1907.0,1557.0,234
ܙܘܓܡܐ,500.0,1234.0,734.0,18
ܙܛܡܐ,500.0,950.0,450.0,8
ܙܝܓܘܢ,950.0,950.0,0.0,2
ܙܝܓܘܣ,950.0,950.0,0.0,2
ܙܝܘܓܘܣ,950.0,950.0,0.0,4
ܙܡܝܡܐ,1800.0,1800.0,0.0,1
ܙܡܪܓܕܐ,450.0,1693.0,1243.0,46
ܛܐܛܪܐܦܘܠܘܢ,1234.0,1234.0,0.0,2
ܛܗܛܐܪܛܗܐܘܣ,850.0,950.0,100.0,2
ܛܗܛܝܓܗܣ,950.0,950.0,0.0,1
ܛܘܡܣܐ,475.0,1905.0,1430.0,511
ܛܘܢܘܣ,800.0,950.0,150.0,5
ܛܘܣܐ,350.0,1994.0,1644.0,29
ܛܘܦܘܐܘܣ,375.0,375.0,0.0,1
ܛܘܦܘܣ,540.0,950.0,410.0,4
ܛܘܦܣܐ,350.0,1907.0,1557.0,243
ܛܘܪܢܘܣ,450.0,1250.0,800.0,25
ܛܙܝܡܐ,950.0,950.0,0.0,1
ܛܛܪܐ,550.0,1500.0,950.0,6
ܛܛܪܐܓܘܢܘܢ,950.0,1250.0,300.0,9
ܛܛܪܐܕܪܡܘܢ,675.0,675.0,0.0,2
ܛܛܪܕܝܛܐ,588.0,588.0,0.0,1
ܛܛܪܛܐ,575.0,724.0,149.0,11
ܛܛܪܦܠܘܢ,675.0,775.0,100.0,7
ܛܛܪܪܟܐ,775.0,1234.0,459.0,43
ܛܝܓܢܐ,450.0,950.0,500.0,9
ܛܝܡܐ,350.0,1994.0,1644.0,143
ܛܝܡܘܢ,450.0,1245.0,795.0,10
ܛܝܡܘܪܝܐ,450.0,950.0,500.0,4
ܛܝܦܢܘܣ,125.0,125.0,0.0,3
ܛܟ,500.0,625.0,125.0,7
ܛܟܢܐ,600.0,1994.0,1394.0,8
ܛܟܣ,350.0,1994.0,1644.0,965
ܛܟܣܐ,350.0,1994.0,1644.0,338
ܛܟܣܝܣ,350.0,1250.0,900.0,68
ܛܠܝܣܡܐ,1234.0,1234.0,0.0,2
ܛܡܐܣܘܣ,950.0,950.0,0.0,1
ܛܣܪܣܩܕܩܛܐ,575.0,575.0,0.0,10
ܛܦܘܣܝܪܝܢ,500.0,500.0,0.0,1
ܛܦܛܐ,800.0,950.0,150.0,6
ܛܪܝܓܠܐ,950.0,950.0,0.0,1
ܛܪܝܛܐ,450.0,950.0,500.0,14
ܛܪܝܟܘܢ,950.0,950.0,0.0,2
ܛܪܦܣ,450.0,450.0,0.0,1
ܝܘܛܐ,675.0,1300.0,625.0,21
ܝܠܘܪܐ,475.0,1025.0,550.0,9
ܝܣܘ,325.0,1150.0,825.0,16
ܝܦܐ,350.0,1222.0,872.0,253
ܝܩܕܢܐ,325.0,2006.0,1681.0,558
ܝܪܩܢܐ,350.0,1375.0,1025.0,47
ܟܐܒܝܐ,701.0,701.0,0.0,2
ܟܐܡܘ,750.0,1222.0,472.0,4
ܟܐܪܝܐ,550.0,675.0,125.0,2
ܟܘܒܢ,625.0,950.0,325.0,4
ܟܘܠܗܪܐ,850.0,950.0,100.0,3
ܟܘܠܝܐ,675.0,1994.0,1319.0,2
ܟܘܢܝ,350.0,1500.0,1150.0,200
ܟܘܣ,325.0,1844.0,1519.0,163
ܟܘܣܠܬܐ,675.0,950.0,275.0,11
ܟܘܪܐ,350.0,2006.0,1656.0,553
ܟܘܪܘܣ,950.0,1025.0,75.0,3
ܟܘܪܣ,325.0,1850.0,1525.0,608
ܟܝܠܝܕܘܢܝܐ,950.0,950.0,0.0,1
ܟܝܡܘܢܐ,350.0,1994.0,1644.0,213
ܟܝܢܘܣ,775.0,950.0,175.0,5
ܟܠܘܢܢ,775.0,775.0,0.0,2
ܟܠܝ,325.0,1994.0,1669.0,782
ܟܠܝܕܘܢܝܐ,950.0,950.0,0.0,1
ܟܠܝܪܟܐ,375.0,724.0,349.0,10
ܟܠܡܝܣ,450.0,1375.0,925.0,41
ܟܠܡܣܐ,950.0,950.0,0.0,1
ܟܠܢܝܕܝܢ,525.0,950.0,425.0,6
ܟܠܩܘܣ,950.0,950.0,0.0,1
ܟܡܘܣ,950.0,950.0,0.0,1
ܟܡܠܐܐ,950.0,950.0,0.0,92
ܟܡܦܝܛܘܣ,950.0,950.0,0.0,2
ܟܢܕܝܩܘܢ,500.0,1850.0,1350.0,4
ܟܣܘܐܐ,560.0,1196.0,636.0,4
ܟܣܘܣܛܪܘܢ,600.0,950.0,350.0,6
ܟܣܢܘܦܐܢܝܣ,1250.0,1250.0,0.0,2
ܟܪܘܙܐ,325.0,1907.0,1582.0,930
ܟܪܛܝܣܐ,375.0,1525.0,1150.0,167
ܟܪܛܪܐ,775.0,775.0,0.0,1
ܟܪܝܡܛܐ,775.0,775.0,0.0,2
ܟܪܣܛܝܢܐ,125.0,1950.0,1825.0,2204
ܟܬܗܣ,950.0,950.0,0.0,1
ܠܐܒܘܢ,350.0,1693.0,1343.0,180
ܠܐܒܪܐ,500.0,1250.0,750.0,16
ܠܐܡܐܢܐ,575.0,575.0,0.0,2
ܠܗܒ,325.0,1250.0,925.0,12
ܠܘܓܘܬܝܛܐ,675.0,675.0,0.0,2
ܠܘܛܪܝܐ,950.0,950.0,0.0,1
ܠܘܟܝܬܐ,400.0,1851.0,1451.0,134
ܠܘܣܛܐ,775.0,950.0,175.0,2
ܠܘܩܝܘܢ,950.0,1250.0,300.0,5
ܠܘܩܝܬܝܩܐ,950.0,950.0,0.0,1
ܠܘܪܐ,500.0,500.0,0.0,1
ܠܘܪܒܐ,500.0,950.0,450.0,4
ܠܙܒܝܐ,525.0,525.0,0.0,5
ܠܙܦܢܐ,350.0,500.0,150.0,2
ܠܛܘܡܐ,500.0,500.0,0.0,1
ܠܛܫ,350.0,1500.0,1150.0,96
ܠܝܒܐ,350.0,1250.0,900.0,78
ܠܝܒܘܐܝ,675.0,1250.0,575.0,13
ܠܝܒܝܕܘܣ,500.0,500.0,0.0,3
ܠܝܛܪܐ,518.0,1300.0,782.0,138
ܠܝܬܐܪܓܘܣ,850.0,950.0,100.0,2
ܠܡܐܢܐ,325.0,1938.0,1613.0,749
ܠܡܦܐܕܐ,350.0,1850.0,1500.0,95
ܠܣܛܝܐ,125.0,1938.0,1813.0,276
ܠܦܪܘ,325.0,1300.0,975.0,5
ܠܩܛܝܩܝܢ,500.0,1525.0,1025.0,33
ܠܩܛܝܩܪܐ,550.0,550.0,0.0,1
ܠܩܬܣܕܝܣ,950.0,950.0,0.0,1
ܠܬܐܘܣ,675.0,675.0,0.0,1
ܡܐܠܠܘܢ,350.0,1250.0,900.0,506
ܡܐܢܝܐ,850.0,950.0,100.0,4
ܡܐܩܪܐ,950.0,950.0,0.0,1
ܡܓܗܢܐܣ,1300.0,1300.0,0.0,1
ܡܓܣܛܪܝܢܘܣ,518.0,675.0,157.0,6
ܡܕܘܛܪܢܐ,950.0,950.0,0.0,2
ܡܗܓܠܝܘܢ,950.0,1500.0,550.0,5
ܡܗܠܐܢܟܘܠܝܩܐ,850.0,850.0,0.0,2
ܡܗܬܘܕܘܣ,800.0,950.0,150.0,6
ܡܘܐܩܗܘܣ,1250.0,1250.0,0.0,3
ܡܘܓܠܐ,500.0,1850.0,1350.0,54
ܡܘܓܠܢܐ,850.0,850.0,0.0,1
ܡܘܛܘܣ,1250.0,1250.0,0.0,1
ܡܘܠܒܕܢܐ,950.0,950.0,0.0,1
ܡܘܠܝܬܐ,400.0,950.0,550.0,7
ܡܘܠܟܝܐ,500.0,630.0,130.0,2
ܡܘܣܛܝ,1250.0,1250.0,0.0,3
ܡܘܣܝܕܝܢ,950.0,950.0,0.0,1
ܡܘܣܟܘܣ,950.0,950.0,0.0,1
ܡܘܪܘܢ,375.0,1950.0,1575.0,259
ܡܘܪܝܛܝܢܐ,675.0,675.0,0.0,1
ܡܘܪܝܩܐ,680.0,1300.0,620.0,23
ܡܘܪܪܝܢܝ,1250.0,1250.0,0.0,2
ܡܙܝܐ,350.0,1375.0,1025.0,11
ܡܙܪܝܘܢ,950.0,1250.0,300.0,3
ܡܛܟܣܘܬܐ,350.0,1250.0,900.0,180
ܡܛܪܝܛܘܣ,950.0,950.0,0.0,2
ܡܝܠܐ,350.0,1375.0,1025.0,347
ܡܝܠܝܛܝܣ,950.0,950.0,0.0,1
ܡܝܣܐܘܣ,950.0,950.0,0.0,1
ܡܠܓܡܐ,450.0,1907.0,1457.0,30
ܡܠܘܣ,775.0,1800.0,1025.0,3
ܡܠܛܘܢ,950.0,950.0,0.0,2
ܡܠܢܟܘܠܝܐ,850.0,2006.0,1156.0,2
ܡܠܢܟܘܠܝܩܝܐ,850.0,850.0,0.0,1
ܡܠܦܘܢܐ,588.0,1250.0,662.0,5
ܡܡܘܢܐ,325.0,1950.0,1625.0,350
ܡܢܕܝܢ,675.0,675.0,0.0,3
ܡܢܕܪܐ,775.0,775.0,0.0,2
ܡܢܝܟܝܐ,525.0,525.0,0.0,4
ܡܩܝܣܘܬܐ,850.0,950.0,100.0,34
ܡܩܠܘܢ,675.0,950.0,275.0,6
ܡܪܓܝܘܣ,650.0,650.0,0.0,2
ܡܪܓܢܝܬܐ,325.0,1994.0,1669.0,753
ܡܪܘ,325.0,1907.0,1582.0,714
ܡܬܪܝܐ,375.0,950.0,575.0,25
ܢܐܪܩܝ,950.0,950.0,0.0,2
ܢܘܒܘܠܘ,1500.0,1500.0,0.0,1
ܢܘܘܓܐ,350.0,1300.0,950.0,40
ܢܘܛ,519.0,950.0,431.0,6
ܢܘܡܐ,450.0,1375.0,925.0,56
ܢܘܡܝܣܡܐ,950.0,950.0,0.0,2
ܢܘܣܐ,350.0,1950.0,1600.0,398
ܢܝܘܩܛܝܩܘܪܐܟܣ,950.0,950.0,0.0,1
ܢܡܘܣܐ,125.0,1994.0,1869.0,9557
ܢܦܐܫܐ,350.0,1994.0,1644.0,219
ܢܦܛܝܪܐ,450.0,1150.0,700.0,12
ܢܪܕܝܢ,350.0,1250.0,900.0,78
ܢܪܩܐ,850.0,950.0,100.0,2
ܣܐܒܢܘܛܘܣ,525.0,525.0,0.0,2
ܣܐܓܐܦܝܢܘܢ,950.0,950.0,0.0,1
ܣܐܛܘܪܝܐܣܡܘ,850.0,950.0,100.0,2
ܣܐܡܐ,325.0,1950.0,1625.0,869
ܣܐܡܘܣ,950.0,1250.0,300.0,2
ܣܐܪܕܘ,575.0,701.0,126.0,4
ܣܓܣܛܪܐ,775.0,775.0,0.0,8
ܣܓܦܝܢܘܢ,950.0,950.0,0.0,3
ܣܕܘܢܐ,325.0,1250.0,925.0,106
ܣܕܠܐ,675.0,1250.0,575.0,8
ܣܗܪܝܣ,950.0,1250.0,300.0,4
ܣܘܕܪܐ,350.0,1250.0,900.0,64
ܣܘܙܘܓܝܐ,950.0,950.0,0.0,1
ܣܘܠܐܒܝ,550.0,1250.0,700.0,5
ܣܘܡܘܛܘܢ,675.0,675.0,0.0,1
ܣܘܡܦܗܪܣܡܐ,950.0,950.0,0.0,1
ܣܘܡܦܛܘܢ,950.0,950.0,0.0,1
ܣܘܢܘܦܘܢܘܣ,525.0,525.0,0.0,2
ܣܘܢܛܟܣܝܣ,650.0,1150.0,500.0,5
ܣܘܢܦܣܝܣ,575.0,575.0,0.0,2
ܣܘܢܩܠܐ,500.0,1234.0,734.0,13
ܣܘܣܘܢ,450.0,950.0,500.0,4
ܣܘܦܩܐ,350.0,950.0,600.0,19
ܣܘܦܪܢ,500.0,775.0,275.0,6
ܣܘܩܝܪܘܣ,950.0,950.0,0.0,1
ܣܘܪ,325.0,1983.0,1658.0,176
ܣܘܪܐ,500.0,500.0,0.0,1
ܣܘܪܝ,350.0,1983.0,1633.0,24
ܣܘܪܝܓܐ,850.0,850.0,0.0,1
ܣܛܘܟܘܕܘܣ,950.0,950.0,0.0,2
ܣܛܘܟܝܐ,500.0,950.0,450.0,21
ܣܛܘܡܢܩܐܠܘܣ,950.0,950.0,0.0,1
ܣܛܘܪܐܟܘܣ,1250.0,1250.0,0.0,2
ܣܛܡܐ,450.0,450.0,0.0,1
ܣܝܠܘܒܐ,575.0,950.0,375.0,2
ܣܝܠܝܢ,675.0,950.0,275.0,9
ܣܝܠܦܝܘܢ,950.0,950.0,0.0,1
ܣܝܡܝܘܢ,430.0,1025.0,595.0,27
ܣܝܣܡܒܪܝܘܢ,1250.0,1250.0,0.0,4
ܣܝܦܘܢܐ,950.0,950.0,0.0,2
ܣܝܩܘܪܐ,450.0,675.0,225.0,2
ܣܝܪܐ,350.0,1994.0,1644.0,163
ܣܟܘܠܣܛܝܩܐ,500.0,950.0,450.0,32
ܣܟܘܠܣܛܝܩܘܬܐ,525.0,580.0,55.0,3
ܣܟܝܢܘܢ,950.0,950.0,0.0,5
ܣܟܠܪܐ,575.0,575.0,0.0,2
ܣܟܪܣ,950.0,950.0,0.0,1
ܣܡܓܪܦܘܣ,525.0,525.0,0.0,2
ܣܡܝܕܐ,350.0,1250.0,900.0,76
ܣܣܐ,325.0,1850.0,1525.0,163
ܣܣܝܡܐ,375.0,375.0,0.0,2
ܣܦܘܕܝ,675.0,950.0,275.0,5
ܣܦܘܩܠܛܪܐ,430.0,1150.0,720.0,9
ܣܦܝܢܬܘܢܝܬܐ,675.0,675.0,0.0,1
ܣܦܝܪܐ,350.0,1994.0,1644.0,64
ܣܦܩܠܝܣ,950.0,950.0,0.0,1
ܣܩܘܣܝܣ,950.0,950.0,0.0,1
ܣܩܘܪܕܝܘܢ,950.0,950.0,0.0,4
ܣܩܘܪܝܢ,525.0,1225.0,700.0,7
ܣܪܕܘܣ,675.0,950.0,275.0,2
ܥܕܝܐ,325.0,1025.0,700.0,34
ܥܘܝܦܐ,375.0,1250.0,875.0,8
ܥܠܘܝ,375.0,1300.0,925.0,89
ܥܡܘܪܝܐ,400.0,1994.0,1594.0,195
ܥܦܐ,550.0,950.0,400.0,15
ܥܪܢܣܐ,675.0,675.0,0.0,1
ܦܐܘܠܘ,350.0,1250.0,900.0,300
ܦܐܠܐܢܓܝܐ,950.0,950.0,0.0,1
ܦܐܢܐ,350.0,850.0,500.0,12
ܦܐܩܘܣ,950.0,950.0,0.0,2
ܦܐܪܝܐ,350.0,1150.0,800.0,14
ܦܓܢܐ,450.0,950.0,500.0,8
ܦܕܛܘܪܐ,575.0,575.0,0.0,2
ܦܗܠܘܪܝܢ,950.0,950.0,0.0,1
ܦܘܒܘܣ,580.0,950.0,370.0,3
ܦܘܓܪܦܐ,2006.0,2006.0,0.0,1
ܦܘܕܐܓܪܝܩܝܐ,850.0,850.0,0.0,1
ܦܘܕܝܬܐ,500.0,1500.0,1000.0,29
ܦܘܘܩܐ,450.0,1245.0,795.0,12
ܦܘܛܐ,519.0,1025.0,506.0,13
ܦܘܠܐ,400.0,1905.0,1505.0,821
ܦܘܠܘܛܝܢ,500.0,1250.0,750.0,16
ܦܘܠܘܦܘܕܘܣ,950.0,950.0,0.0,3
ܦܘܠܠܝܛܝܣ,950.0,950.0,0.0,1
ܦܘܡܦܠܟܘܣ,950.0,950.0,0.0,1
ܦܘܢܐ,400.0,1250.0,850.0,12
ܦܘܢܘܣ,560.0,950.0,390.0,8
ܦܘܢܝܩܐ,500.0,1234.0,734.0,62
ܦܘܣܝܩܝܐ,600.0,950.0,350.0,2
ܦܘܣܩܐ,450.0,1250.0,800.0,33
ܦܘܦܢܐ,525.0,525.0,0.0,1
ܦܘܩܐ,450.0,1901.0,1451.0,144
ܦܘܩܕܐ,325.0,1994.0,1669.0,134
ܦܘܩܘܣ,650.0,950.0,300.0,5
ܦܘܩܛܐ,375.0,950.0,575.0,3
ܦܘܩܛܝܩܘ,950.0,950.0,0.0,1
ܦܘܩܝܠܐ,575.0,850.0,275.0,5
ܦܘܩܦܠܘܣ,650.0,650.0,0.0,1
ܦܘܩܬܐ,450.0,950.0,500.0,15
ܦܘܪܘܣ,450.0,1025.0,575.0,15
ܦܘܪܛܐ,665.0,675.0,10.0,2
ܦܘܪܝܛܝܣ,950.0,950.0,0.0,3
ܦܘܪܢܐ,450.0,950.0,500.0,48
ܦܘܬܩܐ,450.0,1994.0,1544.0,94
ܦܘܬܩܝܐ,500.0,1150.0,650.0,17
ܦܛܠܐ,950.0,950.0,0.0,1
ܦܝܠܐ,350.0,1300.0,950.0,40
ܦܝܠܘܦܘܢܘܣ,550.0,800.0,250.0,5
ܦܝܠܛܝܡܝܐ,575.0,575.0,0.0,2
ܦܝܠܣܘܦܐ,125.0,1994.0,1869.0,255
ܦܝܠܣܦܘܬܐ,350.0,850.0,500.0,123
ܦܝܢܘ,375.0,1375.0,1000.0,11
ܦܝܢܟܐ,325.0,1375.0,1050.0,88
ܦܝܣ,325.0,1938.0,1613.0,3193
ܦܝܣܐ,325.0,1994.0,1669.0,910
ܦܝܣܝܢ,500.0,800.0,300.0,16
ܦܝܩܪܐ,950.0,950.0,0.0,2
ܦܝܪܡܐ,325.0,1850.0,1525.0,387
ܦܝܬܐܘܣ,650.0,650.0,0.0,8
ܦܟܣܘܡܐ,560.0,560.0,0.0,2
ܦܟܣܘܡܛܝܐ,575.0,575.0,0.0,2
ܦܠܐܩܣ,701.0,1234.0,533.0,4
ܦܠܒܘܣ,950.0,950.0,0.0,2
ܦܠܓܐ,325.0,1907.0,1582.0,553
ܦܠܗܓܡܘܢܝ,850.0,850.0,0.0,3
ܦܠܘܐܪܝܐܣ,701.0,701.0,0.0,2
ܦܠܛܡܐܟܘܣ,675.0,675.0,0.0,3
ܦܠܛܢܝܣ,650.0,650.0,0.0,1
ܦܠܣܘܢ,575.0,950.0,375.0,4
ܦܠܣܘܪܐ,950.0,950.0,0.0,4
