,firsts,lasts,lifespans,mentions
ܐܘܦܘܩܘܣܛܝܣ,950.0,950.0,0.0,1
ܐܘܦܘܩܝܡܗܢܘܢ,950.0,950.0,0.0,1
ܐܘܦܘܪܦܝܘܠܐܩܝܘܢ,950.0,950.0,0.0,1
ܐܘܦܘܬܐ,950.0,950.0,0.0,1
ܐܘܦܘܬܐܣܝܣ,950.0,950.0,0.0,1
ܐܘܦܘܬܝܩܝ,950.0,950.0,0.0,1
ܐܘܦܛܪܝܩܘܢ,950.0,950.0,0.0,1
ܐܘܦܝܡܘܣ,775.0,775.0,0.0,4
ܐܘܦܝܣ,675.0,950.0,275.0,3
ܐܘܦܝܣܐ,950.0,950.0,0.0,1
ܐܘܦܝܣܘ,950.0,950.0,0.0,1
ܐܘܦܝܣܬܘܛܘܢܘܣ,950.0,950.0,0.0,1
ܐܘܦܝܬܝܣ,950.0,950.0,0.0,1
ܐܘܦܠܘܢ,950.0,950.0,0.0,1
ܐܘܦܠܝ,950.0,950.0,0.0,1
ܐܘܦܠܝܡܣܝܣ,950.0,950.0,0.0,1
ܐܘܦܡܐܢܝܡܛܐ,500.0,500.0,0.0,2
ܐܘܦܣܪܝܢ,950.0,950.0,0.0,1
ܐܘܦܪܐ,675.0,950.0,275.0,10
ܐܘܦܪܒܝܘܢ,950.0,950.0,0.0,2
ܐܘܦܪܘܣܝܢܝ,675.0,675.0,0.0,36
ܐܘܦܪܝܩܘܢ,950.0,950.0,0.0,1
ܐܘܦܪܟܐ,675.0,1234.0,559.0,51
ܐܘܦܪܟܝܐ,675.0,675.0,0.0,2
ܐܘܦܪܟܣܝܣ,950.0,950.0,0.0,1
ܐܘܦܬܐܘܣ,950.0,950.0,0.0,1
ܐܘܦܬܐܠܡܘܣ,950.0,950.0,0.0,1
ܐܘܦܬܐܠܡܝܐ,950.0,950.0,0.0,2
ܐܘܩܐܘܢܣ,500.0,575.0,75.0,3
ܐܘܩܘܢܘܡܐ,1693.0,1693.0,0.0,3
ܐܘܩܛܘܩܕܩܛܘܢ,525.0,525.0,0.0,2
ܐܘܩܝܐܢܘܣ,575.0,1250.0,675.0,31
ܐܘܩܝܠܘܣ,950.0,950.0,0.0,1
ܐܘܩܝܡܘܢ,950.0,1250.0,300.0,3
ܐܘܩܝܢܐ,475.0,1938.0,1463.0,61
ܐܘܩܝܢܕܐ,675.0,675.0,0.0,1
ܐܘܩܝܢܘܣ,950.0,1222.0,272.0,3
ܐܘܩܝܢܪܐ,675.0,675.0,0.0,1
ܐܘܩܢܡܐ,450.0,450.0,0.0,1
ܐܘܪܐ,500.0,1250.0,750.0,76
ܐܘܪܐܢܘܢ,950.0,950.0,0.0,1
ܐܘܪܐܢܘܣ,950.0,950.0,0.0,3
ܐܘܪܐܢܝܘ,950.0,950.0,0.0,2
ܐܘܪܐܢܝܘܣ,525.0,950.0,425.0,3
ܐܘܪܒܘܣ,675.0,1250.0,575.0,4
ܐܘܪܓܐܢܝܛܘܣ,950.0,950.0,0.0,1
ܐܘܪܓܝ,525.0,1693.0,1168.0,11
ܐܘܪܓܠܝܘܢ,675.0,675.0,0.0,1
ܐܘܪܓܢܘܢ,375.0,1500.0,1125.0,229
ܐܘܪܓܢܘܢܐܝܬ,1222.0,1222.0,0.0,1
ܐܘܪܓܢܝܐ,675.0,1300.0,625.0,17
ܐܘܪܕܝܢܘܣ,950.0,950.0,0.0,2
ܐܘܪܗܐܘܣܗܠܝܢܘܢ,950.0,950.0,0.0,1
ܐܘܪܗܓܢܝܣ,850.0,950.0,100.0,2
ܐܘܪܘܙܐ,950.0,1250.0,300.0,3
ܐܘܪܘܠܘܓܝܩܘܢ,950.0,950.0,0.0,1
ܐܘܪܘܢܘܛܘܣ,1250.0,1250.0,0.0,3
ܐܘܪܘܣ,775.0,775.0,0.0,2
ܐܘܪܘܦܐ,125.0,1905.0,1780.0,11
ܐܘܪܘܦܘܓܢܘܢ,1250.0,1250.0,0.0,1
ܐܘܪܘܬܕܘܟܣܗܘ,350.0,350.0,0.0,1
ܐܘܪܚܬܐ,325.0,1950.0,1625.0,687
ܐܘܪܛܝ,425.0,425.0,0.0,2
ܐܘܪܝ,350.0,1375.0,1025.0,41
ܐܘܪܝܐ,775.0,1300.0,525.0,12
ܐܘܪܝܓܐܢܘܢ,950.0,1250.0,300.0,6
ܐܘܪܝܘܐܘܡܗܟܘܣ,950.0,950.0,0.0,1
ܐܘܪܝܘܓܝ,950.0,950.0,0.0,1
ܐܘܪܝܣ,519.0,950.0,431.0,8
ܐܘܪܝܣܡܘܣ,950.0,950.0,0.0,3
