,Column1,lexeme,syriac,glosses,etymologies,root,words,category,kaylo,origin_lang,origin_lang_word
2346,13740,"{'id': 14912, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/14912.json'}",ܦܠܣܪ,"{'English': ['IVa to falsify, to forge.']}",{'Greek': ['falsarius']},"{'id': 3149, 'uri': 'https://sedra.bethmardutho.org/api/root/3149.json'}","[{'id': 41002, 'uri': 'https://sedra.bethmardutho.org/api/word/41002.json'}, {'id': 41198, 'uri': 'https://sedra.bethmardutho.org/api/word/41198.json'}]",verb,,Greek,falsarius
2347,8309,"{'id': 9408, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/9408.json'}",ܦܠܩܐ,"{'Arabic': ['\xa0'], 'French': ['\xa0'], 'English': ['tablet.']}",{'Greek': ['πλάξ']},,"[{'id': 31388, 'uri': 'https://sedra.bethmardutho.org/api/word/31388.json'}, {'id': 39352, 'uri': 'https://sedra.bethmardutho.org/api/word/39352.json'}]",noun,,Greek,πλάξ
2349,30017,"{'id': 32890, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/32890.json'}",ܦܠܩܝܐ,{'English': ['a paved precinct']},{'Greek': ['πλακία']},,"[{'id': 59264, 'uri': 'https://sedra.bethmardutho.org/api/word/59264.json'}]",noun,,Greek,πλακία
2350,16719,"{'id': 18115, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/18115.json'}",ܦܢܐ,{'English': ['the ossifrage']},{'Greek': ['φήνη']},,"[{'id': 44489, 'uri': 'https://sedra.bethmardutho.org/api/word/44489.json'}]",noun,,Greek,φήνη
2351,29690,"{'id': 32555, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/32555.json'}",ܦܢܘܡܛܘܡܢܘ,{'English': ['fighters against the Holy Spirit']},{'Greek': ['pneumato']},,"[{'id': 58929, 'uri': 'https://sedra.bethmardutho.org/api/word/58929.json'}]",noun,,Greek,pneumato
2352,29691,"{'id': 32556, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/32556.json'}",ܦܢܘܡܣܛܝܩܘܢ,{'English': ['index of works']},{'Greek': ['ὑπομνηστικός']},,"[{'id': 58930, 'uri': 'https://sedra.bethmardutho.org/api/word/58930.json'}]",noun,,Greek,ὑπομνηστικός
2353,18104,"{'id': 19637, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/19637.json'}",ܦܢܛܐ,[],{'Greek': ['πέντε']},,"[{'id': 46011, 'uri': 'https://sedra.bethmardutho.org/api/word/46011.json'}]",noun,,Greek,πέντε
2354,29694,"{'id': 32559, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/32559.json'}",ܦܢܛܝܦܘܠܝܣ,{'English': ['the Cyrenaica']},{'Greek': ['πεντάπολις']},,"[{'id': 58933, 'uri': 'https://sedra.bethmardutho.org/api/word/58933.json'}]",noun,,Greek,πεντάπολις
2355,2293,"{'id': 2542, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/2542.json'}",ܦܢܛܩܘܣܛܐ,{'English': ['Pentecost']},{'Greek': ['πεντηκοστή']},"{'id': 1508, 'uri': 'https://sedra.bethmardutho.org/api/root/1508.json'}","[{'id': 16602, 'uri': 'https://sedra.bethmardutho.org/api/word/16602.json'}, {'id': 16603, 'uri': 'https://sedra.bethmardutho.org/api/word/16603.json'}, {'id': 16604, 'uri': 'https://sedra.bethmardutho.org/api/word/16604.json'}]",noun,,Greek,πεντηκοστή
2356,2295,"{'id': 2545, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/2545.json'}",ܦܢܩܝܬܐ,"{'English': ['writing tablet', 'tablet', 'Fenqitho (liturgical book).', 'volume, codex']}",{'Greek': ['πινακίδιον']},"{'id': 1510, 'uri': 'https://sedra.bethmardutho.org/api/root/1510.json'}","[{'id': 16610, 'uri': 'https://sedra.bethmardutho.org/api/word/16610.json'}]",noun,,Greek,πινακίδιον
2357,29700,"{'id': 32565, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/32565.json'}",ܦܣܘܟܦܘܠܘܢ,"{'English': ['Psychapollon, destroyer of souls']}",{'Greek': ['ψυχά']},,"[{'id': 58939, 'uri': 'https://sedra.bethmardutho.org/api/word/58939.json'}]",noun,,Greek,ψυχά
2358,3805,"{'id': 4809, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/4809.json'}",ܦܣܛܝܠܐ,{'English': ['colonnade']},{'Greek': ['περίστυλος']},,"[{'id': 44507, 'uri': 'https://sedra.bethmardutho.org/api/word/44507.json'}]",noun,,Greek,περίστυλος
